,label,N,P,K,ph,temperature,humidity,rainfall
92,Arecanut,100,40,140,5.86,18.86883219,93.24688124,119.3936976
93,Arecanut,100,40,140,5.84,24.63676897,90.61964344,218.2299187
94,Arecanut,100,40,140,5.82,29.38072512,93.27565685,218.5241851
95,Asafoetida,90,40,20,5,24.88921174,81.97927117,185.9461429
96,Asafoetida,90,40,20,5.02,24.2547451,55.64709899,64.23845455
97,Asafoetida,90,40,20,5.04,17.927806,15.85622899,74.63872762
98,Asafoetida,90,40,20,5.06,24.9035819,22.27512704,146.4727237
99,Asafoetida,90,40,20,5.08,20.5591255,60.54880693,191.0895109
100,Asafoetida,90,40,20,5.1,27.94293692,45.41393636,69.66289997
101,Asafoetida,90,40,20,5.12,28.36363858,87.59810657,57.99524359
102,Asafoetida,90,40,20,5.14,29.57812712,66.17587668,69.43895491
103,Asafoetida,90,40,20,5.16,27.60195453,63.46170674,54.37814199
104,Asafoetida,90,40,20,5.18,24.88244467,89.39686219,107.1951707
105,Asafoetida,90,40,20,4.98,25.85036988,81.95580471,119.0856171
106,Asafoetida,90,40,20,4.96,28.22373428,47.40519056,97.76832322
107,Asafoetida,90,40,20,4.94,25.23542319,80.68700527,67.03840888
108,Asafoetida,90,40,20,4.92,26.81938687,87.8274604,46.06193778
109,Asafoetida,90,40,20,4.9,29.90415889,90.75284363,25.37828397
110,Asafoetida,90,40,20,4.88,22.98458907,93.3204487,122.1952483
111,Asafoetida,90,40,20,4.86,33.1056981,93.48447453,119.1709113
112,Asafoetida,90,40,20,4.84,32.68067385,92.61715632,248.8592986
113,Asafoetida,90,40,20,4.82,27.63834933,95.48763389,205.5463111
114,Ash Gourd,60,10,30,5.5,20.2801937,82.1235421,191.9535738
115,Ash Gourd,60,10,30,5.52,19.84939404,61.24500053,100.7689246
116,Ash Gourd,60,10,30,5.54,17.30287885,15.15405941,75.57790384
117,Ash Gourd,60,10,30,5.56,21.80619564,18.57086554,125.0972687
118,Ash Gourd,60,10,30,5.58,20.89342749,46.24856523,195.5697875
119,Ash Gourd,60,10,30,5.6,31.1006247,44.82069159,70.79934452
120,Ash Gourd,60,10,30,5.62,27.33684386,88.50229102,51.09802625
121,Ash Gourd,60,10,30,5.64,26.23773129,67.88521396,73.58663968
122,Ash Gourd,60,10,30,5.66,25.28710601,60.85993533,49.37369982
123,Ash Gourd,60,10,30,5.68,18.75927679,89.93457597,111.0196744
124,Ash Gourd,60,10,30,5.48,26.3985515,81.36028902,98.16752001
125,Ash Gourd,60,10,30,5.46,31.09779147,47.41196659,90.28624348
126,Ash Gourd,60,10,30,5.44,25.51939719,83.98351748,69.17281221
127,Ash Gourd,60,10,30,5.42,25.11189154,80.02621335,44.20656987
128,Ash Gourd,60,10,30,5.4,29.68846716,94.30111601,26.83924845
129,Ash Gourd,60,10,30,5.38,23.25230817,94.54128292,105.3558408
130,Ash Gourd,60,10,30,5.36,23.98289638,91.5473145,118.4901697
131,Ash Gourd,60,10,30,5.34,23.48546973,93.71043692,191.7760562
132,Ash Gourd,60,10,30,5.32,29.36792366,76.24900101,181.6942283
133,Banana,100,75,50,6.5,27.33368994,83.67675197,90.678456
134,Banana,100,75,50,6.52,27.40053601,82.96221306,80.72515943
135,Banana,100,75,50,6.54,29.3159075,80.11585705,77.81891424
136,Banana,100,75,50,6.56,26.05433004,79.39654531,75.45328039
137,Banana,100,75,50,6.58,25.86632408,84.42379269,136.0456753
138,Banana,100,75,50,6.6,27.00932084,80.18546798,50.28438729
139,Banana,100,75,50,6.62,29.55054817,78.06762846,58.41394143
140,Banana,100,75,50,6.64,26.28845991,83.390039,65.66436565
141,Banana,100,75,50,6.66,29.16226551,76.16151562,49.47371773
142,Banana,100,75,50,6.68,28.65003945,82.68752542,104.0277061
143,Banana,100,75,50,6.48,29.07311132,76.50045221,94.31102057
144,Banana,100,75,50,6.46,28.08166093,75.26429821,90.82549241
145,Banana,100,75,50,6.44,27.1994597,78.8086068,68.66813363
146,Banana,100,75,50,6.42,28.05484146,78.04602887,56.45229202
147,Banana,100,75,50,6.4,25.14748006,83.34688193,29.1102594
148,Banana,100,75,50,6.38,25.94019018,78.3422098,104.4267991
149,Banana,100,75,50,6.36,27.66752761,79.68542782,100.1961762
150,Banana,100,75,50,6.34,25.56703012,75.94067692,197.402901
151,Banana,100,75,50,6.32,25.84726298,90.92669463,147.8888994
152,Barley(JAV),70,40,45,5.5,23.00445915,82.3207629,263.9642476
153,Barley(JAV),70,40,45,5.52,23.35905428,83.59512273,188.413665
154,Barley(JAV),70,40,45,5.54,23.30546753,63.24648023,108.7603001
155,Barley(JAV),70,40,45,5.56,17.81564548,17.60756635,90.82097601
156,Barley(JAV),70,40,45,5.58,16.03768615,22.33195853,130.3900798
157,Barley(JAV),70,40,45,5.6,30.55992394,35.29006485,178.8998611
158,Barley(JAV),70,40,45,5.62,30.99694676,46.42693735,38.31597852
159,Barley(JAV),70,40,45,5.64,28.08657178,80.35005927,38.14476781
160,Barley(JAV),70,40,45,5.66,29.79181107,63.38789228,63.02169909
161,Barley(JAV),70,40,45,5.68,25.86928193,61.88321072,36.68284038
162,Barley(JAV),70,40,45,5.48,23.2801227,94.94330457,111.1382096
163,Barley(JAV),70,40,45,5.46,28.0764455,76.05522115,118.9923573
164,Barley(JAV),70,40,45,5.44,31.65333432,48.20662669,91.09745581
165,Barley(JAV),70,40,45,5.42,11.82768186,80.2827185,74.10225057
166,Barley(JAV),70,40,45,5.4,25.42900869,82.91481799,56.34144589
167,Barley(JAV),70,40,45,5.38,29.48882958,91.07574233,26.01909355
168,Barley(JAV),70,40,45,5.36,22.47420512,91.22759742,124.2179699
169,Barley(JAV),70,40,45,5.34,29.98364695,94.55239717,115.3560318
170,Barley(JAV),70,40,45,5.32,42.54744013,94.94482086,214.4103848
171,Bay Leaf,100,50,25,5,26.88444878,81.46033732,194.5766559
172,Bay Leaf,100,50,25,5.02,24.86374934,65.7420046,75.82270467
173,Bay Leaf,100,50,25,5.04,19.16288268,15.83500655,82.69766829
174,Bay Leaf,100,50,25,5.06,23.78709569,24.35679348,119.6404412
175,Bay Leaf,100,50,25,5.08,19.95991719,59.33157782,195.787103
176,Bay Leaf,100,50,25,5.1,30.47757686,61.58245338,61.86633917
177,Bay Leaf,100,50,25,5.12,29.46416042,87.60890009,43.15411472
178,Bay Leaf,100,50,25,5.14,27.26458947,68.01232937,68.91754359
179,Bay Leaf,100,50,25,5.16,24.388717,62.50453062,47.26052494
180,Bay Leaf,100,50,25,5.18,23.40981539,93.13277,105.2240743
181,Bay Leaf,100,50,25,4.98,26.51682337,77.79913575,108.8547508
182,Bay Leaf,100,50,25,4.96,27.27433181,47.16808054,95.257992
183,Bay Leaf,100,50,25,4.94,15.99050693,81.23966573,74.40198861
184,Bay Leaf,100,50,25,4.92,25.50405534,81.40297428,48.47833278
185,Bay Leaf,100,50,25,4.9,27.42711692,90.02696201,21.7508774
186,Bay Leaf,100,50,25,4.88,22.12659387,90.97818277,104.5412275
187,Bay Leaf,100,50,25,4.86,30.49183837,90.4582865,113.3302105
188,Bay Leaf,100,50,25,4.84,34.28879307,93.61082872,127.2509777
189,Bay Leaf,100,50,25,4.82,29.01256899,94.01014388,150.0500312
190,Beetroot,120,50,100,5.5,26.35927159,84.04403589,271.3586137
191,Beetroot,120,50,100,5.52,18.83344471,58.75082029,79.7532896
192,Beetroot,120,50,100,5.54,17.08498521,16.14565756,71.31007253
193,Beetroot,120,50,100,5.56,19.07096165,21.21092266,86.21917578
194,Beetroot,120,50,100,5.58,28.98039357,57.23265151,120.7435664
195,Beetroot,120,50,100,5.6,25.74095321,45.38497051,67.43488235
196,Beetroot,120,50,100,5.62,29.68361658,87.93598094,41.82490236
197,Beetroot,120,50,100,5.64,28.81460716,65.33538112,62.26242533
198,Beetroot,120,50,100,5.66,29.84823072,60.63872613,46.80452595
199,Beetroot,120,50,100,5.68,23.89736406,66.32102048,40.74536757
200,Beetroot,120,50,100,5.48,19.85139326,89.80732335,102.8186358
201,Beetroot,120,50,100,5.46,25.01018457,78.76260938,108.3690513
202,Beetroot,120,50,100,5.44,31.32863689,47.59319575,94.67344737
203,Beetroot,120,50,100,5.42,41.94865736,81.15595212,73.06862952
204,Beetroot,120,50,100,5.4,26.12588914,86.5507939,40.71210074
205,Beetroot,120,50,100,5.38,29.07265321,91.91533173,28.83568362
206,Beetroot,120,50,100,5.36,21.72484506,92.83975602,121.6961761
207,Beetroot,120,50,100,5.34,32.23797837,90.15406807,104.7052254
208,Beetroot,120,50,100,5.32,23.16855863,90.78821158,161.6892093
209,Bitter Gourd,60,10,20,6.5,24.52922681,80.54498576,260.2634026
210,Bitter Gourd,60,10,20,6.52,25.71895816,67.22190688,74.51490791
211,Bitter Gourd,60,10,20,6.54,20.09340593,15.11279612,85.74904898
212,Bitter Gourd,60,10,20,6.56,21.18853178,19.63438599,137.1948633
213,Bitter Gourd,60,10,20,6.58,27.32198928,34.13737127,96.51524028
214,Bitter Gourd,60,10,20,6.6,31.70447482,56.85420099,44.94317432
215,Bitter Gourd,60,10,20,6.62,28.14448546,82.1193047,46.75690086
216,Bitter Gourd,60,10,20,6.64,34.03619494,64.28791388,66.85510868
217,Bitter Gourd,60,10,20,6.66,21.36383757,69.92375891,46.6352865
218,Bitter Gourd,60,10,20,6.68,24.55981624,91.63536236,111.9684622
219,Bitter Gourd,60,10,20,6.48,21.25433607,92.65058936,106.2784673
220,Bitter Gourd,60,10,20,6.46,29.21144871,84.70189923,108.5501443
221,Bitter Gourd,60,10,20,6.44,33.88004781,54.39416048,89.29147581
222,Bitter Gourd,60,10,20,6.42,11.18994268,80.8084305,66.34234944
223,Bitter Gourd,60,10,20,6.4,25.10474753,87.5267616,59.26519444
224,Bitter Gourd,60,10,20,6.38,28.68275966,92.50969311,29.11187663
225,Bitter Gourd,60,10,20,6.36,22.44307715,91.59234006,102.5565807
226,Bitter Gourd,60,10,20,6.34,17.68408797,94.35815354,108.0638166
227,Bitter Gourd,60,10,20,6.32,33.08706051,92.25197542,88.1300769
228,Black eyed beans( chawli),20,60,20,5.5,23.97898217,81.45061596,250.0832336
229,Black eyed beans( chawli),20,60,20,5.52,20.41683147,62.5542482,65.27798457
230,Black eyed beans( chawli),20,60,20,5.54,20.45078582,15.40312102,92.68373702
231,Black eyed beans( chawli),20,60,20,5.56,22.91350245,21.33953114,109.225556
232,Black eyed beans( chawli),20,60,20,5.58,18.78226261,20.24768314,104.2570723
233,Black eyed beans( chawli),20,60,20,5.6,29.37735586,44.82294584,172.40168
234,Black eyed beans( chawli),20,60,20,5.62,24.01825377,53.76623369,35.03404425
235,Black eyed beans( chawli),20,60,20,5.64,28.5474135,88.9570454,49.4897245
236,Black eyed beans( chawli),20,60,20,5.66,29.6321052,65.91359954,71.16331975
237,Black eyed beans( chawli),20,60,20,5.68,25.71269843,64.1123333,50.17067771
238,Black eyed beans( chawli),20,60,20,5.48,23.22594,94.42971362,105.6917856
239,Black eyed beans( chawli),20,60,20,5.46,25.44926208,79.49221962,100.6619171
240,Black eyed beans( chawli),20,60,20,5.44,33.93679864,52.72170281,97.4611918
241,Black eyed beans( chawli),20,60,20,5.42,15.31413469,80.09711412,74.82144653
242,Black eyed beans( chawli),20,60,20,5.4,25.41864024,81.12122989,49.52320689
243,Black eyed beans( chawli),20,60,20,5.38,27.7058373,92.91185695,22.06207161
244,Black eyed beans( chawli),20,60,20,5.36,21.19909519,90.80819418,103.6838922
245,Black eyed beans( chawli),20,60,20,5.34,18.05142392,90.03969587,111.7793889
246,Black eyed beans( chawli),20,60,20,5.32,31.88342554,91.3256535,79.27201575
247,Black Gram,40,60,20,5,29.48439992,63.19915325,71.89090748
248,Black Gram,40,60,20,5.02,26.73433965,68.13999721,67.15096376
249,Black Gram,40,60,20,5.04,26.27274407,62.28814857,70.23207557
250,Black Gram,40,60,20,5.06,34.03679184,67.21113844,73.23573601
251,Black Gram,40,60,20,5.08,28.03644051,65.06601664,72.49507741
252,Black Gram,40,60,20,5.1,28.81460716,65.33538112,62.26242533
253,Black Gram,40,60,20,5.12,34.03619494,64.28791388,66.85510868
254,Black Gram,40,60,20,5.14,33.8642935,61.57072498,68.02199825
255,Black Gram,40,60,20,5.16,32.84213012,68.68401492,73.67166182
256,Black Gram,40,60,20,5.18,27.10053268,63.36085585,73.84949872
257,Black Gram,40,60,20,4.98,25.65842532,61.18235808,69.28607828
258,Black Gram,40,60,20,4.96,32.34744009,66.61452812,64.55882254
259,Black Gram,40,60,20,4.94,29.58949031,68.32176769,67.53021213
260,Black Gram,40,60,20,4.92,30.91219459,68.79427388,66.63830637
261,Black Gram,40,60,20,4.9,28.12787838,64.2097765,70.86340755
262,Black Gram,40,60,20,4.88,30.08545364,69.34811988,67.1367443
263,Black Gram,40,60,20,4.86,31.74379487,62.51007687,68.97097538
264,Black Gram,40,60,20,4.84,27.81326852,62.50460464,69.75555541
265,Black Gram,40,60,20,4.82,32.88733849,64.59457409,71.50569456
266,Black Pepper,100,60,50,5,22.67846116,83.72874389,200.9133156
267,Black Pepper,100,60,50,5.02,22.6265115,65.77472881,88.17251033
268,Black Pepper,100,60,50,5.04,20.26942271,19.96978871,69.64449182
269,Black Pepper,100,60,50,5.06,22.05592283,19.60379304,126.7265372
270,Black Pepper,100,60,50,5.08,28.87667593,62.4901206,182.2688175
271,Black Pepper,100,60,50,5.1,30.58139475,50.77148138,64.58559639
272,Black Pepper,100,60,50,5.12,29.73013036,82.89166381,50.91511275
273,Black Pepper,100,60,50,5.14,31.35730791,64.24992106,63.85668948
274,Black Pepper,100,60,50,5.16,24.98287462,66.895409,38.21370568
275,Black Pepper,100,60,50,5.18,21.20725375,94.26304717,107.5660804
276,Black Pepper,100,60,50,4.98,28.66725136,79.59242542,118.2583441
277,Black Pepper,100,60,50,4.96,27.10710832,50.70880979,92.37238878
278,Black Pepper,100,60,50,4.94,22.4359017,80.18612085,65.3973168
279,Black Pepper,100,60,50,4.92,26.20234499,80.38266489,56.47941847
280,Black Pepper,100,60,50,4.9,29.55657523,90.70937262,28.36535596
281,Black Pepper,100,60,50,4.88,22.53779727,91.48135786,101.8474768
282,Black Pepper,100,60,50,4.86,30.25578031,92.03272799,116.7173125
283,Black Pepper,100,60,50,4.84,39.30050027,94.16193416,120.9512466
284,Black Pepper,100,60,50,4.82,26.58413917,95.78923137,171.6262299
285,Bottle Gourd,100,50,50,6.5,20.77576147,84.49774397,240.0810647
286,Bottle Gourd,100,50,50,6.52,25.33797709,68.49835977,96.46380213
287,Bottle Gourd,100,50,50,6.54,17.57212145,14.99927489,89.31050665
288,Bottle Gourd,100,50,50,6.56,23.0429097,22.42610972,108.3684316
289,Bottle Gourd,100,50,50,6.58,21.47607807,38.80023714,180.382234
290,Bottle Gourd,100,50,50,6.6,24.47876451,58.51663927,34.96933295
291,Bottle Gourd,100,50,50,6.62,29.53037621,86.73346018,59.87232071
292,Bottle Gourd,100,50,50,6.64,33.8642935,61.57072498,68.02199825
293,Bottle Gourd,100,50,50,6.66,26.28663931,68.51966729,46.13833007
294,Bottle Gourd,100,50,50,6.68,19.65690085,89.93701023,108.0458926
295,Bottle Gourd,100,50,50,6.48,23.65374106,93.32657504,109.8076178
296,Bottle Gourd,100,50,50,6.46,27.35911627,84.54625006,90.81250457
297,Bottle Gourd,100,50,50,6.44,28.07802689,54.9640534,97.45373619
298,Bottle Gourd,100,50,50,6.42,17.5438296,82.94703302,73.77063744
299,Bottle Gourd,100,50,50,6.4,26.27520631,86.63249555,54.38748495
300,Bottle Gourd,100,50,50,6.38,28.92705913,91.39356832,23.20076686
301,Bottle Gourd,100,50,50,6.36,21.1316077,91.95769858,122.5391946
302,Bottle Gourd,100,50,50,6.34,10.2708877,90.19147747,106.6955204
303,Bottle Gourd,100,50,50,6.32,37.4620912,90.44967809,172.3458448
304,Brinjal,80,15,40,6.5,27.82592799,67.5861883,74.01229707
305,Brinjal,80,15,40,6.52,28.49538735,60.44848407,74.91559514
306,Brinjal,80,15,40,6.54,27.74274761,68.53997144,71.78615328
307,Brinjal,80,15,40,6.56,30.41588462,67.66323804,63.02473185
308,Brinjal,80,15,40,6.58,27.3254209,69.09047809,61.19250859
309,Brinjal,80,15,40,6.6,30.28496619,61.69295127,65.62859526
310,Brinjal,80,15,40,6.62,28.56840626,61.53278622,63.49726331
311,Brinjal,80,15,40,6.64,25.36586097,66.6379724,65.81655892
312,Brinjal,80,15,40,6.66,34.9466155,65.26774011,70.1415139
313,Brinjal,80,15,40,6.68,25.09737391,67.72837887,74.61649888
314,Brinjal,80,15,40,6.48,32.47648301,64.34848735,65.820457
315,Brinjal,80,15,40,6.46,33.86351172,68.59232289,69.24464096
316,Brinjal,80,15,40,6.44,25.19857725,60.37332688,70.88787207
317,Brinjal,80,15,40,6.42,31.77681682,69.01852894,61.46892873
318,Brinjal,80,15,40,6.4,34.89814946,63.59948557,64.72797143
319,Brinjal,80,15,40,6.38,31.74105409,68.63525428,62.3061735
320,Brinjal,80,15,40,6.36,27.16159076,66.76017239,69.85112265
321,Brinjal,80,15,40,6.34,26.23773129,67.88521396,73.58663968
322,Brinjal,80,15,40,6.32,30.20157245,60.06534859,66.37171179
323,Cabbage,100,65,70,6.5,21.44653958,84.94375962,90.2017204
324,Cabbage,100,65,70,6.52,21.53574127,71.50905983,102.4852929
325,Cabbage,100,65,70,6.54,18.57665902,19.22008229,72.94940441
326,Cabbage,100,65,70,6.56,18.09551014,18.29318436,14.7902323
327,Cabbage,100,65,70,6.58,36.97794384,37.73992903,16.4812963
328,Cabbage,100,65,70,6.6,25.60973447,50.7330069,53.39249517
329,Cabbage,100,65,70,6.62,28.22471276,82.35916228,44.01206619
330,Cabbage,100,65,70,6.64,27.10053268,63.36085585,73.84949872
331,Cabbage,100,65,70,6.66,26.57597546,60.97876599,50.89110726
332,Cabbage,100,65,70,6.68,24.1469628,94.5110662,110.2316633
333,Cabbage,100,65,70,6.48,29.36792366,76.24900101,92.82840911
334,Cabbage,100,65,70,6.46,28.67208915,82.20793613,94.37987496
335,Cabbage,100,65,70,6.44,28.70595247,50.44030129,95.8946444
336,Cabbage,100,65,70,6.42,9.724457611,83.74765639,74.46411148
337,Cabbage,100,65,70,6.4,26.73690828,87.82430156,47.46447019
338,Cabbage,100,65,70,6.38,27.59350075,91.79742953,24.84266123
339,Cabbage,100,65,70,6.36,23.75033085,92.88160462,117.6602827
340,Cabbage,100,65,70,6.34,19.667056,90.50096668,100.1737964
341,Cabbage,100,65,70,6.32,32.57720726,92.74889453,93.7942847
342,Capsicum,100,20,60,6.5,22.30157427,80.64416466,19.9791215
343,Capsicum,100,20,60,6.52,23.89114571,57.48775781,102.8301942
344,Capsicum,100,20,60,6.54,19.12065218,18.43475844,85.52950164
345,Capsicum,100,20,60,6.56,20.65375833,23.10538637,67.71768947
346,Capsicum,100,20,60,6.58,18.31910448,34.69776639,107.4721605
347,Capsicum,100,20,60,6.6,31.46511256,51.79939437,74.44330654
348,Capsicum,100,20,60,6.62,27.88352946,86.45147631,44.64407105
349,Capsicum,100,20,60,6.64,32.84213012,68.68401492,73.67166182
350,Capsicum,100,20,60,6.66,22.17499963,62.13873825,53.46622584
351,Capsicum,100,20,60,6.68,18.78359608,87.4024767,102.5184759
352,Capsicum,100,20,60,6.48,23.88404783,86.20613842,108.3121789
353,Capsicum,100,20,60,6.46,28.0106804,76.52808057,103.7040783
354,Capsicum,100,20,60,6.44,35.53845018,52.94641947,91.54560427
355,Capsicum,100,20,60,6.42,13.05809741,80.28297993,70.75633584
356,Capsicum,100,20,60,6.4,26.27061608,83.09194521,46.76837499
357,Capsicum,100,20,60,6.38,27.99901833,91.64193051,23.28618248
358,Capsicum,100,20,60,6.36,22.71750705,92.25479855,107.0289866
359,Capsicum,100,20,60,6.34,17.22034507,94.78797376,108.0054343
360,Capsicum,100,20,60,6.32,38.73218907,94.73613484,218.142147
361,Cardamom,75,75,150,5,26.08867875,80.37979919,182.9043504
362,Cardamom,75,75,150,5.02,18.04185513,60.61494304,104.2321615
363,Cardamom,75,75,150,5.04,17.09104223,18.25142068,87.27444866
364,Cardamom,75,75,150,5.06,18.87492997,20.18238348,134.1811718
365,Cardamom,75,75,150,5.08,36.04353699,43.61444121,159.8938645
366,Cardamom,75,75,150,5.1,26.85911286,41.81420849,44.13827124
367,Cardamom,75,75,150,5.12,27.46852989,87.17649,43.78420984
368,Cardamom,75,75,150,5.14,31.52104732,66.55723677,61.71111448
369,Cardamom,75,75,150,5.16,28.234829,69.3159965,35.36831423
370,Cardamom,75,75,150,5.18,18.20230419,91.12282162,109.6623974
371,Cardamom,75,75,150,4.98,28.14938935,81.54448882,91.40508414
372,Cardamom,75,75,150,4.96,34.89226666,48.75613373,91.63074547
373,Cardamom,75,75,150,4.94,34.76086052,81.03544763,65.70430027
374,Cardamom,75,75,150,4.92,25.13735887,89.28272716,43.52897517
375,Cardamom,75,75,150,4.9,29.84070774,93.76312893,23.28207838
376,Cardamom,75,75,150,4.88,22.49095104,91.70292746,124.3915101
377,Cardamom,75,75,150,4.86,12.22816189,90.26457428,108.4161706
378,Cardamom,75,75,150,4.84,39.73149053,91.12220596,122.7628653
379,Cardamom,75,75,150,4.82,28.28905147,97.00396405,142.9403233
